id;survey_visibility;users_having_visibility;groups_having_visibility;result_visibility;users_having_result_visibility;groups_having_result_visibility;maintainer_users;maintainer_user_groups
1;ANYONE_WITH_LINK;strategic;gold Checking Account;ANYONE_WITH_LINK;orchestrate;bypass payment Seychelles;reintermediate clicks-and-mortar;Keyboard Vision-oriented Web
2;SPECIFIC_USERS_AND_GROUPS;Home Loan Account Advanced;Regional;ANYONE_WITH_LINK;program Bond Markets Units European Composite Unit (EURCO) deposit;client-server evolve portals;Liaison Berkshire core;Ridge
3;SPECIFIC_USERS_AND_GROUPS;mobile Cotton Yuan Renminbi;Greece monitor China;SPECIFIC_USERS_AND_GROUPS;software;Refined time-frame;Synchronised;Outdoors
4;ANYONE_WITH_LINK;Personal Loan Account Wooden Licensed Granite Pants;auxiliary;SPECIFIC_USERS_AND_GROUPS;Kansas Health;teal;empower Yemen Liaison;Drive secured line
5;SPECIFIC_USERS_AND_GROUPS;Analyst;violet productivity;ANYONE_WITH_LINK;optimize online bandwidth;Agent;Barbados;convergence protocol
6;ANYONE_WITH_LINK;programming;recontextualize Massachusetts array;SPECIFIC_USERS_AND_GROUPS;driver neural deposit;Chair Avon Metal;driver compress Jamaican Dollar;wireless Refined
7;SPECIFIC_USERS_AND_GROUPS;AGP Tactics;program architectures mobile;SPECIFIC_USERS_AND_GROUPS;6th generation reciprocal 5th generation;GB Frozen;function;parse revolutionary
8;SPECIFIC_USERS_AND_GROUPS;Fantastic;seamless;SPECIFIC_USERS_AND_GROUPS;Movies;haptic;Steel COM;program Frozen
9;SPECIFIC_USERS_AND_GROUPS;blue neural;primary;ANYONE_WITH_LINK;lime Forward;Legacy matrices discrete;Marketing;bus indexing
10;SPECIFIC_USERS_AND_GROUPS;Buckinghamshire Papua New Guinea Kroon;National;SPECIFIC_USERS_AND_GROUPS;Music;Saint Helena Pound panel;Falkland Islands (Malvinas);synthesize Manager Operations
