id;date_created;taken_by;answer_data
1;2020-07-07T14:19:03;incremental;Markets quantifying Refined
2;2020-07-07T12:53:05;Intelligent Frozen Hat JSON Money Market Account;Harbor Berkshire
3;2020-07-07T13:23:03;web services Bedfordshire;Congo
4;2020-07-08T02:09:37;web-enabled GB Lead;dot-com
5;2020-07-07T12:27:59;Soap Armenian Dram;open-source Lithuania
6;2020-07-07T15:05:06;payment Fresh Granite;Metal
7;2020-07-07T16:05:16;dedicated Vista withdrawal;Cotton Louisiana Handmade
8;2020-07-07T14:46:47;neutral Internal;Gloves
9;2020-07-07T16:06:24;Wooden Generic;back-end Cloned
10;2020-07-08T09:27:36;Mauritius Rupee;fuchsia solid state application
